file_path,country,continent,ns-hemisphere,ew-hemisphere,category
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_660/lighthouse_660_3_rgb.jpg,Canada,North America,Northern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_660/lighthouse_660_2_rgb.jpg,Canada,North America,Northern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_660/lighthouse_660_4_rgb.jpg,Canada,North America,Northern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_660/lighthouse_660_0_rgb.jpg,Canada,North America,Northern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_1010/lighthouse_1010_0_rgb.jpg,Canada,North America,Northern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_783/lighthouse_783_2_rgb.jpg,Canada,North America,Northern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_783/lighthouse_783_3_rgb.jpg,Canada,North America,Northern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_783/lighthouse_783_1_rgb.jpg,Canada,North America,Northern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_617/lighthouse_617_4_rgb.jpg,Canada,North America,Northern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_617/lighthouse_617_0_rgb.jpg,Canada,North America,Northern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_617/lighthouse_617_2_rgb.jpg,Canada,North America,Northern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_617/lighthouse_617_3_rgb.jpg,Canada,North America,Northern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_65/lighthouse_65_3_rgb.jpg,Australia,Oceania,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_65/lighthouse_65_2_rgb.jpg,Australia,Oceania,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_65/lighthouse_65_4_rgb.jpg,Australia,Oceania,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_65/lighthouse_65_0_rgb.jpg,Australia,Oceania,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_65/lighthouse_65_1_rgb.jpg,Australia,Oceania,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_12/lighthouse_12_3_rgb.jpg,South Africa,Africa,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_12/lighthouse_12_7_rgb.jpg,South Africa,Africa,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_12/lighthouse_12_2_rgb.jpg,South Africa,Africa,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_12/lighthouse_12_6_rgb.jpg,South Africa,Africa,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_12/lighthouse_12_8_rgb.jpg,South Africa,Africa,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_12/lighthouse_12_0_rgb.jpg,South Africa,Africa,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_12/lighthouse_12_4_rgb.jpg,South Africa,Africa,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_12/lighthouse_12_1_rgb.jpg,South Africa,Africa,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_12/lighthouse_12_5_rgb.jpg,South Africa,Africa,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_12/lighthouse_12_9_rgb.jpg,South Africa,Africa,Southern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_250/lighthouse_250_5_rgb.jpg,Brazil,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_250/lighthouse_250_1_rgb.jpg,Brazil,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_250/lighthouse_250_9_rgb.jpg,Brazil,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_250/lighthouse_250_8_rgb.jpg,Brazil,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_250/lighthouse_250_4_rgb.jpg,Brazil,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_250/lighthouse_250_6_rgb.jpg,Brazil,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_250/lighthouse_250_2_rgb.jpg,Brazil,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_250/lighthouse_250_3_rgb.jpg,Brazil,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_227/lighthouse_227_6_rgb.jpg,Uruguay,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_227/lighthouse_227_2_rgb.jpg,Uruguay,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_227/lighthouse_227_7_rgb.jpg,Uruguay,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_227/lighthouse_227_3_rgb.jpg,Uruguay,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_227/lighthouse_227_5_rgb.jpg,Uruguay,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_227/lighthouse_227_1_rgb.jpg,Uruguay,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_227/lighthouse_227_4_rgb.jpg,Uruguay,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_227/lighthouse_227_0_rgb.jpg,Uruguay,South America,Southern,Western,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_320/lighthouse_320_9_rgb.jpg,Japan,Asia,Northern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_320/lighthouse_320_5_rgb.jpg,Japan,Asia,Northern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_320/lighthouse_320_1_rgb.jpg,Japan,Asia,Northern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_320/lighthouse_320_4_rgb.jpg,Japan,Asia,Northern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_320/lighthouse_320_0_rgb.jpg,Japan,Asia,Northern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_320/lighthouse_320_8_rgb.jpg,Japan,Asia,Northern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_320/lighthouse_320_6_rgb.jpg,Japan,Asia,Northern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_320/lighthouse_320_2_rgb.jpg,Japan,Asia,Northern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_320/lighthouse_320_7_rgb.jpg,Japan,Asia,Northern,Eastern,lighthouse
/deep/group/aicc-bootcamp/self-sup/fmow_rgb/train/lighthouse/lighthouse_320/lighthouse_320_3_rgb.jpg,Japan,Asia,Northern,Eastern,lighthouse
